호선,구분,역명,역번,05:30~,06:00~,06:30~,07:00~,07:30~,08:00~,08:30~,09:00~,09:30~,10:00~,10:30~,11:00~,11:30~,12:00~,12:30~,13:00~,13:30~,14:00~,14:30~,15:00~,15:30~,16:00~,16:30~,17:00~,17:30~,18:00~,18:30~,19:00~,19:30~,20:00~,20:30~,21:00~,21:30~,22:00~,22:30~,23:00~,23:30~,24:00~,24:30~
2,내선,잠실나루,215,16,18,26,46,72,71,44,46,28,27,34,29,34,35,33,38,33,34,37,39,36,39,40,33,39,44,33,26,21,23,26,29,28,29,21,17,27,4,0
2,내선,잠실,216,20,23,42,69,95,101,57,58,39,34,33,36,37,40,38,45,39,39,42,42,43,43,49,38,52,51,36,28,27,25,33,34,33,28,19,13,17,4,0
2,내선,잠실새내,217,20,24,45,71,98,111,62,57,40,33,35,36,37,38,38,45,37,37,41,39,40,39,49,37,47,48,33,28,23,24,31,32,31,26,18,12,14,4,0
2,내선,종합운동장,218,26,17,23,40,65,90,110,61,57,39,33,34,36,35,37,36,44,36,35,39,38,39,38,47,35,44,46,31,26,22,22,29,32,30,25,18,11,13,4
2,내선,삼성,219,18,16,21,35,57,74,88,51,49,36,31,33,35,36,38,39,46,40,39,48,46,48,47,67,45,70,66,50,39,34,34,44,49,47,35,26,15,15,6
2,내선,선릉,220,23,18,24,37,64,78,100,62,56,45,39,37,49,44,48,51,63,53,53,66,64,65,67,95,65,97,96,71,59,45,48,59,67,70,50,35,21,20,8
2,내선,역삼,221,24,18,22,31,52,64,70,48,46,38,37,35,48,45,48,53,60,56,57,70,71,74,75,111,77,127,119,86,71,54,56,69,83,83,61,42,25,25,13
2,내선,강남,222,27,17,19,26,43,55,53,39,35,35,35,35,48,49,50,57,60,61,62,79,79,86,82,126,88,135,128,101,82,68,70,92,112,117,88,63,37,37,19
2,내선,교대,223,26,17,18,26,43,53,50,36,30,34,33,31,46,47,43,53,56,54,61,73,77,84,80,115,91,130,140,109,85,74,72,96,120,125,103,70,41,37,21
2,내선,서초,224,25,15,17,25,38,47,38,31,25,30,31,29,44,46,42,53,55,54,62,74,78,86,82,118,93,139,143,111,86,76,74,95,124,128,105,71,41,37,21
2,내선,방배,225,15,18,25,36,46,35,30,24,29,29,29,43,45,42,52,55,54,61,77,78,89,79,117,94,143,147,115,89,73,79,94,128,127,105,75,43,36,21,0
2,내선,사당,226,20,17,24,35,48,41,32,24,29,30,24,41,41,39,48,51,51,57,69,72,81,74,106,91,116,132,107,85,65,75,87,115,125,103,86,46,38,30,0
2,내선,낙성대,227,27,20,18,24,37,48,41,32,24,27,26,25,39,34,42,47,47,51,55,60,74,78,74,95,89,99,131,99,78,63,71,79,102,118,97,78,42,34,26
2,내선,서울대입구,228,20,18,24,38,50,39,31,22,23,22,23,31,33,39,43,42,46,51,54,68,69,72,83,90,87,117,88,70,56,60,71,91,106,84,68,44,25,27,0
2,내선,봉천,229,23,21,19,27,42,55,43,33,24,24,22,23,31,33,39,43,41,45,49,52,66,66,70,81,87,85,111,83,65,53,57,67,83,100,81,65,41,23,24
2,내선,신림,230,38,26,24,32,54,73,56,41,28,23,26,26,29,33,40,43,40,44,45,48,59,58,64,71,79,67,94,67,52,42,45,50,67,80,68,52,32,18,15
2,내선,신대방,231,35,25,39,63,82,67,46,34,25,28,27,31,36,43,43,41,46,45,47,57,56,63,67,81,63,93,65,50,43,40,47,62,72,61,47,29,16,13,0
2,내선,구로디지털단지,232,74,45,30,48,74,89,62,46,35,27,31,30,33,39,46,47,43,48,46,47,58,59,67,70,85,80,106,73,53,45,41,47,59,70,60,47,29,14,12
2,내선,대림,233,96,68,36,54,79,102,72,54,39,30,34,33,34,41,50,51,44,51,47,46,57,58,64,68,87,76,99,68,49,42,37,42,51,60,50,41,27,12,10
2,내선,신도림,234,26,33,32,50,88,128,102,71,52,32,41,33,37,43,49,51,47,47,42,41,39,47,38,47,47,54,78,50,35,31,26,29,34,38,34,23,19,10,10
2,내선,문래,235,26,33,32,47,81,127,97,70,54,46,50,46,45,43,49,51,46,46,42,41,40,48,42,49,48,51,79,55,41,31,34,38,34,38,34,57,23,17,9
2,내선,영등포구청,236,28,35,30,49,83,127,92,69,54,44,55,45,47,45,48,47,47,46,42,40,38,44,42,46,47,54,75,54,38,29,32,34,33,35,31,43,20,14,8
2,내선,당산,237,32,29,51,80,119,98,70,60,45,58,49,50,49,52,50,53,46,43,42,40,47,45,47,51,57,79,56,41,29,31,34,32,35,30,42,19,14,8,0
2,내선,합정,238,23,26,31,44,71,108,86,63,54,40,57,44,46,45,48,45,47,42,38,38,33,39,37,36,45,45,55,42,29,21,21,27,25,29,23,32,15,10,6
2,내선,홍대입구,239,21,21,32,47,77,119,86,64,51,39,56,49,43,46,46,44,47,42,37,39,33,39,37,38,41,42,47,36,25,21,20,30,30,37,32,35,26,13,6
2,내선,신촌(지하),240,21,21,29,45,75,118,86,59,45,34,52,40,45,44,39,45,44,41,36,40,33,42,38,40,41,43,43,35,24,23,22,35,35,46,38,41,35,14,5
